package,binary_value,available_versions,TabHost_use_in_latest_version,support_this_feature
TIViewer.Alex.com.free.www,0,2,,False
Uxpp.UC,0,4,,False
aaa.koded.MangaGalaxyFree,0,2,,False
at.bluesource.mobilepocket,0,2,,False
be.appsolution.ecco,0,2,,False
br.com.buscape.MainPack,0,4,,False
br.com.carango,0,2,,False
br.com.ctncardoso.ctncar,0,2,,False
br.com.golmobile.nypost,0,2,,False
br.com.mobits.peixeurbano,0,3,,False
burrows.apps.busybox,0,4,,False
buy.more.chuck,0,2,,False
ca.digitalforge.zSmiter,0,2,,False
ch.smalltech.battery.free,0,4,,False
ch.smalltech.ledflashlight.free,0,4,,False
cn.com.opda.android.clearmaster,0,4,,False
cn.kuwo.kwmusichd,0,2,,False
co.fusionweb.blackfriday,0,2,,False
com.DDLive,0,2,,False
com.Dealsofamerica,0,2,,False
com.J_G.payCheckEstimate,0,3,,False
com.KEYsoft.hbp,0,2,,False
com.KEYsoft.odff,0,2,,False
com.KEYsoft.ods,0,2,,False
com.KEYsoft.tyler,0,2,,False
com.Meteosolutions.Meteo3b,0,3,,False
com.Vertifi.DeposZip.P314089681,0,2,,False
com.abc.abcnews,0,3,,False
com.acme.games.polete01,0,2,,False
com.ai.android.DocFinder_International,0,2,,False
com.ai.android.DocFinder_MidEast,0,2,,False
com.aitype.android,0,5,,False
com.aldiko.android,0,3,,False
com.alpinereplay.android,0,2,,False
com.altoonamirror.app,0,2,,False
com.andrewpym.legoMFIs,0,2,,False
com.android.chrome,0,4,,False
com.animoca.MyCarSalon,0,2,,False
com.antutu.ABenchMark,0,5,,False
com.appforall.ledictionnaire,0,2,,False
com.apprope.truthordare,0,2,,False
com.appspot.swisscodemonkeys.apps,0,2,,False
com.appspot.swisscodemonkeys.dirty,0,2,,False
com.apptray.joyofsex,0,2,,False
com.aquamobile.apps,0,2,,False
com.atino.muvibob,0,2,,False
com.audials,0,2,,False
com.aviationexam.AndroidAviationExam,0,3,,False
com.bestapproach.eastlake,0,2,,False
com.bestweatherfor.bibleoffline_pt_ra,0,3,,False
com.bibleinspiration,0,3,,False
com.bizzabo.client,0,3,,False
com.blackberry.workspace.manager,0,3,,False
com.blogspot.zandroidgame.alienninja,0,2,,False
com.blogspot.zandroidgame.zombiehunter,0,2,,False
com.boomaphone.Nuts,0,2,,False
com.brainsterapps.android.countaliciouslite,0,2,,False
com.buzzpia.aqua.launcher,0,4,,False
com.bydeluxe.d3.android.program.starz,0,2,,False
com.cabooze.buzzoff,0,5,,False
com.cars.android,0,2,,False
com.cheftony.psychsoundfree,0,2,,False
com.chemistry,0,2,,False
com.chikka.gero,0,2,,False
com.citrixonline.gotomypc,0,4,,False
com.citysourced.adelaideau,0,2,,False
com.citysourced.brentwoodca,0,2,,False
com.citysourced.calcasieula,0,2,,False
com.citysourced.escondidoca,0,2,,False
com.citysourced.kamloopsbc,0,2,,False
com.clawdyvan.agendadigitalaluno,0,2,,False
com.cocina.vascaf,0,2,,False
com.com2us.sliceit,0,3,,False
com.commbank.netbank,0,3,,False
com.communitytogo.northernschoolautism,0,2,,False
com.conduit.app_026ba9dd9a714d7b99b22c4e4938a937.app,0,2,,False
com.crazyimp.fingeroracle,0,2,,False
com.creativesciences.spaint.free,0,4,,False
com.cubic.cumo.android.rmv,0,2,,False
com.datingflirty,0,3,,False
com.dedalord.runningfred,0,2,,False
com.defyagency.soa,0,2,,False
com.devankit.appdeleter,0,2,,False
com.devankit.mapps2sd,0,2,,False
com.diadev.crystaldownloaderweb,0,4,,False
com.dip.baitoru,0,2,,False
com.dirttech.fieldtracer,0,2,,False
com.dlto.atom.store,0,2,,False
com.dumadugames.flicksoccer,0,2,,False
com.elitegamesltd.tomoon,0,2,,False
com.equibase.todaysracing,0,2,,False
com.espn.score_center,0,4,,False
com.eventbrite.attendee,0,3,,False
com.eventphant.android,0,2,,False
com.excelsisnet.android.lms,0,2,,False
com.farmersstatebank,0,2,,False
com.fflabs.bologna,0,2,,False
com.fishingtimesfree,0,2,,False
com.fishmy.android,0,3,,False
com.foxtel.epg,0,2,,False
com.framentos.alarmweather,0,2,,False
com.freightliner.HaulerRacing,0,2,,False
com.g7research.jognog,0,3,,False
com.gamecircus.CoinDozerSeasons,0,3,,False
com.gameloft.android.ANMP.GloftPOHM,0,4,,False
com.gameloft.android.ANMP.GloftS2HM,0,2,,False
com.gettaxi.android,0,4,,False
com.girlsdateforfree,0,3,,False
com.github.wdkapps.fillup,0,3,,False
com.goriladroid.poetavacilon,0,4,,False
com.grainger.mobile.android,0,2,,False
com.graytv.android.wsaznews,0,2,,False
com.hetverkeer.info,0,2,,False
com.hetweer.in.nl,0,2,,False
com.hrs.android,0,2,,False
com.hrs.b2c.android,0,2,,False
com.hubbl,0,2,,False
com.icq.mobile.client,0,2,,False
com.icyspark.kickthehabit,0,2,,False
com.ifreyrgames.starwarfare,0,2,,False
com.ifreyrgames.starwarfarehd,0,2,,False
com.instagram.android,0,9,,False
com.ipllive.ipl2013,0,2,,False
com.iqt.iqqijni.arabic,0,3,,False
com.iqt.iqqijni.russian,0,3,,False
com.irobotz.appmanager,0,2,,False
com.ismaker.android.simsimi,0,5,,False
com.issuu.android.app,0,2,,False
com.itechnepal.nepaliradio,0,2,,False
com.jingdong.app.mall,0,4,,False
com.kapustin.app.realflowersfree,0,2,,False
com.kaskus.android,0,2,,False
com.kayak.android,0,3,,False
com.keek,0,2,,False
com.kfactormedia.mycalendar,0,4,,False
com.kfactormedia.mycalendarmobile,0,3,,False
com.kidstvsmile.android,0,2,,False
com.km.draw.photodraw,0,2,,False
com.km.frames.magazine,0,2,,False
com.km.house.burn,0,2,,False
com.km.learn.sign,0,2,,False
com.km.life.babyboy,0,2,,False
com.km.prank.kisstest,0,2,,False
com.km.prank.liedetector,0,2,,False
com.km.voice.talkingfish,0,2,,False
com.kmart.android,0,2,,False
com.kreatorz.englishslang.free,0,2,,False
com.l,0,4,,False
com.lafitness.lafitness,0,2,,False
com.lbeach.android,0,2,,False
com.lexorn.bubbleblastkitchensink,0,2,,False
com.lhg.games.noahsarkhd,0,2,,False
com.lianyun.afirewall.inapp,0,5,,False
com.logos.androidfaithlife,0,5,,False
com.logos.androidlogos,0,5,,False
com.logos.androidverbum,0,2,,False
com.logos.androidvyrso,0,2,,False
com.loveagain,0,3,,False
com.lovestruck1,0,2,,False
com.lowlevel.usound.ares,0,4,,False
com.ls.skiresort.siera,0,2,,False
com.luluvise.android,0,3,,False
com.magnoconag.ITyphoon,0,2,,False
com.manilla,0,3,,False
com.melontech.android.maptosnow,0,2,,False
com.merdroid.artyfarty,0,2,,False
com.merriamwebster,0,2,,False
com.mingoville.funclock.free,0,3,,False
com.moac.android.opensecretsanta,0,2,,False
com.mobage.ww.a1088.Boney_The_Runner_BH_Android,0,2,,False
com.mobage.ww.a1216.Divine_Armaments_Android,0,2,,False
com.mobage.ww.a1257.Dot_Android,0,3,,False
com.mobage.ww.a1367.Please_Stay_Calm_Android,0,2,,False
com.mobage.ww.a1389.TSS_EnM_Android,0,3,,False
com.mobage.ww.a692.Bahamut_Android,0,3,,False
com.mobage.ww.a953.Fuzion_Android,0,4,,False
com.mobimind.aprendecoloreando,0,3,,False
com.modivmedia.scanitgl,0,2,,False
com.modivmedia.scanitss,0,2,,False
com.morningjournalnews.app,0,2,,False
com.movile.wp,0,2,,False
com.movisoft.movieeditor,0,2,,False
com.mtvn.android.colbert,0,2,,False
com.mylocaltv.kion,0,2,,False
com.mylocaltv.wxyz,0,2,,False
com.napzoom.main,0,2,,False
com.nearox.android,0,2,,False
com.nhn.android.kin,0,2,,False
com.nqmobile.antivirus20,0,4,,False
com.octro.teenpatti,0,4,,False
com.offerup,0,4,,False
com.ombiel.campusm.bradford,0,2,,False
com.one.osb.main,0,3,,False
com.onteca.CannonDefense,0,3,,False
com.orionsmason.animalpuzzlesfree,0,2,,False
com.panamadev.mbpanama,0,2,,False
com.parksmt.jejuair.android16,0,4,,False
com.parsarbharti.airnews,0,2,,False
com.pedagogs.youcanread,0,2,,False
com.penser.note,0,2,,False
