Package Name,Version Code,Number of Default Layouts
com.google.android.apps.translate,30000023,54
air.au.com.metro.DumbWaysToDie,1004003,19
com.dropbox.android,231004,154
com.melodis.midomiMusicIdentifier.freemium,10591,269
com.samsung.swift.app.kiesair,23132,82
com.skype.raider,67405411,146
Game.SpeedMoto,18,1
com.google.android.music,1109,167
com.socialnmobile.dictapps.notepad.color.note,190,56
com.gau.go.launcherex,303,467
com.sec.chaton,207103000,403
air.com.playtika.slotomania,1039000,31
com.adobe.reader,77969,51
com.accuweather.android,41,116
com.aceviral.angrygranrun,24,19
br.com.rodrigokolb.realdrum,20,5
com.zeptolab.ctr.ads,22,64
com.advancedprocessmanager,59,38
vStudio.Android.Camera360,422,160
flipboard.app,607,214
com.google.android.apps.plus,413009748,351
com.netflix.mediaclient,1042,99
com.androidwasabi.livewallpaper.dandelion,44,15
Game.NDK,27,1
com.antivirus,181729,72
com.whatsapp,48348,153
com.google.android.apps.docs,1222832,181
com.pandora.android,44,86
com.jb.gosms,154,527
com.gau.go.launcherex,267,524
com.creativemobile.DragRacing,90,12
com.google.earth,13294050,27
com.advancedprocessmanager,68,43
com.yahoo.mobile.client.android.mail,1310622,198
com.adobe.air,3900138,5
com.a0soft.gphone.app2sd,321,51
co.vine.android,1400110,111
cn.wps.moffice_eng,72,527
com.imangi.templerun2,12,14
com.whatsapp,48235,151
com.halfbrick.jetpackjoyride,1600,7
net.zedge.android,40005,75
com.google.android.apps.books,30015,111
com.amazon.mShop.android,2801,215
com.google.android.apps.maps,704001103,300
com.amazon.mp3,3002410,165
com.skype.raider,67130946,131
com.adobe.psmobile,12,54
com.gameloft.android.ANMP.GloftDMHM,15022,28
com.rovio.angrybirds,3410,2
com.androidwasabi.livewallpaper.waterdrop,30,15
com.outfit7.talkingtom,63,64
com.ebay.mobile,46,397
com.outfit7.talkingtom2free,32,71
com.shootbubble.bubbledexlue,12,39
com.google.android.apps.magazines,131402010,76
com.gamestar.pianoperfect,619,62
com.king.candycrushsaga,102101,14
ch.smalltech.battery.free,131,56
com.metago.astro,564,242
me.pou.app,132,4
ch.smalltech.battery.free,129,44
com.google.android.apps.plus,410508092,284
com.picsart.studio,79,402
com.accuweather.android,45,115
com.roidapp.photogrid,101,117
com.surpax.ledflashlight.panel,3,8
com.PinballGame,8,9
com.amdroid.pedo.gas.flatulencia,6,7
com.sec.chaton,302115000,202
com.google.android.talk,20217130,164
com.google.android.apps.docs,1246114,220
com.rovio.angrybirdsspace.ads,1650,2
com.rovio.angrybirds,4000,2
atticlab.bodyscanner,41,21
com.gamestar.pianoperfect,614,43
com.lookout,82800,169
com.sgiggle.production,1386724633,306
com.aitype.android,1994,68
me.pou.app,157,4
com.disney.WMWLite,17,1
goldenshorestechnologies.brightestflashlight.free,26,1
com.melodis.midomiMusicIdentifier.freemium,10560,259
com.disney.WMWLite,19,16
br.com.rodrigokolb.realdrum,23,5
jp.naver.line.android,125,439
brain.age.analyzer,53,43
com.pandora.android,5005,109
com.jiubang.goscreenlock,337,169
com.kiloo.subwaysurf,36,16
com.dropbox.android,231104,169
com.aceviral.angrygranrun,21,19
com.king.candycrushsaga,101601,12
ch.smalltech.ledflashlight.free,156,22
goldenshorestechnologies.brightestflashlight.free,27,1
com.avast.android.mobilesecurity,6572,218
com.google.android.apps.maps,701000803,281
com.ansangha.drdriving,12,13
com.viber.voip,37,207
com.google.android.googlequicksearchbox,300301080,355
com.UCMobile.intl,88,131
com.rechild.advancedtaskkiller,103,10
com.cleanmaster.mguard,30860498,184
cn.jingling.motu.photowonder,106,213
com.jiubang.goscreenlock,325,139
brain.age.analyzer,52,43
com.PinballGame,9,9
com.StudioOnMars.CSPortable,3309,14
air.com.playtika.slotomania,1042000,31
com.rovio.angrybirdsstarwars.ads.iap,1300,1
com.amazon.mp3,2080310,116
com.adobe.psmobile,10,56
Uxpp.UC,112,199
com.kiloo.subwaysurf,32,15
com.socialnmobile.dictapps.notepad.color.note,172,56
com.shootbubble.bubbledexlue,14,40
net.zedge.android,30500,98
com.google.android.music,1316,138
com.StudioOnMars.CSPortable,3020,14
com.antivirus,186306,82
Uxpp.UC,86,212
air.au.com.metro.DumbWaysToDie,1004001,19
com.rechild.advancedtaskkiller,10203,10
com.facebook.katana,666397,1126
com.netflix.mediaclient,950,26
com.adobe.reader,85478,89
com.twitter.android,421,198
com.lookout,81910,150
com.google.android.talk,757001,147
com.alienmanfc6.wheresmyandroid,90,46
com.google.android.youtube,5021,204
com.sec.spp.push,36,12
com.google.android.gm,4600370,117
ch.smalltech.ledflashlight.free,160,34
com.android.chrome,1547059,75
com.outfit7.talkingtom2free,73,80
com.google.android.apps.translate,30000028,54
com.bestcoolfungames.antsmasher,7002,13
