Package Name,Version Code,Fragment
com.google.android.apps.translate,30000023,True
air.au.com.metro.DumbWaysToDie,1004003,False
com.dropbox.android,231004,True
com.melodis.midomiMusicIdentifier.freemium,10591,True
com.samsung.swift.app.kiesair,23132,False
com.skype.raider,67405411,True
Game.SpeedMoto,18,False
com.google.android.music,1109,True
com.socialnmobile.dictapps.notepad.color.note,190,False
com.gau.go.launcherex,303,False
com.sec.chaton,207103000,True
air.com.playtika.slotomania,1039000,False
com.adobe.reader,77969,False
com.accuweather.android,41,True
com.aceviral.angrygranrun,24,False
br.com.rodrigokolb.realdrum,20,False
com.zeptolab.ctr.ads,22,True
com.advancedprocessmanager,59,False
vStudio.Android.Camera360,422,False
flipboard.app,607,True
com.google.android.apps.plus,413009748,True
com.netflix.mediaclient,1042,True
com.androidwasabi.livewallpaper.dandelion,44,False
Game.NDK,27,False
com.antivirus,181729,False
com.whatsapp,48348,True
com.google.android.apps.docs,1222832,False
com.pandora.android,44,True
com.jb.gosms,154,False
com.gau.go.launcherex,267,False
com.creativemobile.DragRacing,90,True
com.google.earth,13294050,False
com.advancedprocessmanager,68,True
com.yahoo.mobile.client.android.mail,1310622,True
com.adobe.air,3900138,False
com.a0soft.gphone.app2sd,321,True
co.vine.android,1400110,True
cn.wps.moffice_eng,72,False
com.imangi.templerun2,12,True
com.whatsapp,48235,True
com.halfbrick.jetpackjoyride,1600,False
net.zedge.android,40005,True
com.google.android.apps.books,30015,False
com.amazon.mShop.android,2801,True
com.google.android.apps.maps,704001103,True
com.amazon.mp3,3002410,True
com.skype.raider,67130946,True
com.adobe.psmobile,12,True
com.gameloft.android.ANMP.GloftDMHM,15022,True
com.rovio.angrybirds,3410,False
com.androidwasabi.livewallpaper.waterdrop,30,False
com.outfit7.talkingtom,63,False
com.ebay.mobile,46,True
com.outfit7.talkingtom2free,32,False
com.shootbubble.bubbledexlue,12,False
com.google.android.apps.magazines,131402010,True
com.gamestar.pianoperfect,619,False
com.king.candycrushsaga,102101,False
ch.smalltech.battery.free,131,True
com.metago.astro,564,False
me.pou.app,132,False
ch.smalltech.battery.free,129,True
com.google.android.apps.plus,410508092,False
com.picsart.studio,79,True
com.accuweather.android,45,True
com.roidapp.photogrid,101,True
com.surpax.ledflashlight.panel,3,False
com.PinballGame,8,False
com.amdroid.pedo.gas.flatulencia,6,True
com.sec.chaton,302115000,True
com.google.android.talk,20217130,True
com.google.android.apps.docs,1246114,False
com.rovio.angrybirdsspace.ads,1650,False
com.rovio.angrybirds,4000,False
atticlab.bodyscanner,41,False
com.gamestar.pianoperfect,614,False
com.lookout,82800,True
com.sgiggle.production,1386724633,False
com.aitype.android,1994,False
me.pou.app,157,False
com.disney.WMWLite,17,False
goldenshorestechnologies.brightestflashlight.free,26,False
com.melodis.midomiMusicIdentifier.freemium,10560,True
com.disney.WMWLite,19,False
br.com.rodrigokolb.realdrum,23,False
jp.naver.line.android,125,False
brain.age.analyzer,53,False
com.pandora.android,5005,True
com.jiubang.goscreenlock,337,False
com.kiloo.subwaysurf,36,False
com.dropbox.android,231104,True
com.aceviral.angrygranrun,21,False
