Package Name,Version Code,Number of ImageButton elements
com.google.android.apps.translate,30000023,1
air.au.com.metro.DumbWaysToDie,1004003,0
com.dropbox.android,231004,3
com.melodis.midomiMusicIdentifier.freemium,10591,4
com.samsung.swift.app.kiesair,23132,0
com.skype.raider,67405411,9
Game.SpeedMoto,18,0
com.google.android.music,1109,7
com.socialnmobile.dictapps.notepad.color.note,190,0
com.gau.go.launcherex,303,3
com.sec.chaton,207103000,6
air.com.playtika.slotomania,1039000,0
com.adobe.reader,77969,6
com.accuweather.android,41,3
com.aceviral.angrygranrun,24,0
br.com.rodrigokolb.realdrum,20,0
com.zeptolab.ctr.ads,22,0
com.advancedprocessmanager,59,0
vStudio.Android.Camera360,422,1
flipboard.app,607,5
com.google.android.apps.plus,413009748,18
com.netflix.mediaclient,1042,3
com.androidwasabi.livewallpaper.dandelion,44,0
Game.NDK,27,0
com.antivirus,181729,0
com.whatsapp,48348,3
com.google.android.apps.docs,1222832,5
com.pandora.android,44,8
com.jb.gosms,154,11
com.gau.go.launcherex,267,3
com.creativemobile.DragRacing,90,0
com.google.earth,13294050,4
com.advancedprocessmanager,68,0
com.yahoo.mobile.client.android.mail,1310622,23
com.adobe.air,3900138,0
com.a0soft.gphone.app2sd,321,1
co.vine.android,1400110,1
cn.wps.moffice_eng,72,32
com.imangi.templerun2,12,0
com.whatsapp,48235,3
com.halfbrick.jetpackjoyride,1600,2
net.zedge.android,40005,1
com.google.android.apps.books,30015,6
com.amazon.mShop.android,2801,0
com.google.android.apps.maps,704001103,8
com.amazon.mp3,3002410,12
com.skype.raider,67130946,6
com.adobe.psmobile,12,0
com.gameloft.android.ANMP.GloftDMHM,15022,0
com.rovio.angrybirds,3410,2
com.androidwasabi.livewallpaper.waterdrop,30,0
com.outfit7.talkingtom,63,0
com.ebay.mobile,46,2
com.outfit7.talkingtom2free,32,0
com.shootbubble.bubbledexlue,12,0
com.google.android.apps.magazines,131402010,1
com.gamestar.pianoperfect,619,1
com.king.candycrushsaga,102101,0
ch.smalltech.battery.free,131,8
com.metago.astro,564,6
me.pou.app,132,0
ch.smalltech.battery.free,129,8
com.google.android.apps.plus,410508092,15
com.picsart.studio,79,97
com.accuweather.android,45,3
com.roidapp.photogrid,101,8
com.surpax.ledflashlight.panel,3,0
com.PinballGame,8,0
com.amdroid.pedo.gas.flatulencia,6,0
com.sec.chaton,302115000,5
com.google.android.talk,20217130,7
com.google.android.apps.docs,1246114,5
com.rovio.angrybirdsspace.ads,1650,2
com.rovio.angrybirds,4000,2
atticlab.bodyscanner,41,2
com.gamestar.pianoperfect,614,1
com.lookout,82800,1
com.sgiggle.production,1386724633,9
com.aitype.android,1994,3
me.pou.app,157,0
com.disney.WMWLite,17,0
goldenshorestechnologies.brightestflashlight.free,26,0
com.melodis.midomiMusicIdentifier.freemium,10560,4
com.disney.WMWLite,19,0
br.com.rodrigokolb.realdrum,23,0
jp.naver.line.android,125,0
brain.age.analyzer,53,0
com.pandora.android,5005,7
com.jiubang.goscreenlock,337,2
com.kiloo.subwaysurf,36,0
com.dropbox.android,231104,2
com.aceviral.angrygranrun,21,0
com.king.candycrushsaga,101601,0
ch.smalltech.ledflashlight.free,156,2
goldenshorestechnologies.brightestflashlight.free,27,0
com.avast.android.mobilesecurity,6572,1
com.google.android.apps.maps,701000803,8
com.ansangha.drdriving,12,0
com.viber.voip,37,8
com.google.android.googlequicksearchbox,300301080,7
com.UCMobile.intl,88,5
com.rechild.advancedtaskkiller,103,0
com.cleanmaster.mguard,30860498,0
cn.jingling.motu.photowonder,106,1
com.jiubang.goscreenlock,325,2
brain.age.analyzer,52,0
com.PinballGame,9,0
com.StudioOnMars.CSPortable,3309,0
air.com.playtika.slotomania,1042000,0
com.rovio.angrybirdsstarwars.ads.iap,1300,0
com.amazon.mp3,2080310,4
com.adobe.psmobile,10,0
Uxpp.UC,112,9
com.kiloo.subwaysurf,32,0
com.socialnmobile.dictapps.notepad.color.note,172,0
com.shootbubble.bubbledexlue,14,0
net.zedge.android,30500,0
com.google.android.music,1316,7
com.StudioOnMars.CSPortable,3020,0
com.antivirus,186306,0
Uxpp.UC,86,8
air.au.com.metro.DumbWaysToDie,1004001,0
com.rechild.advancedtaskkiller,10203,0
com.facebook.katana,666397,29
com.netflix.mediaclient,950,0
com.adobe.reader,85478,1
com.twitter.android,421,10
com.lookout,81910,1
com.google.android.talk,757001,8
com.alienmanfc6.wheresmyandroid,90,0
com.google.android.youtube,5021,1
com.sec.spp.push,36,0
com.google.android.gm,4600370,2
ch.smalltech.ledflashlight.free,160,2
com.android.chrome,1547059,27
com.outfit7.talkingtom2free,73,0
com.google.android.apps.translate,30000028,1
com.bestcoolfungames.antsmasher,7002,0
com.google.earth,13140170,4
com.RunnerGames.game.JewelsDeluxe_AD,25,0
cn.wps.moffice_eng,65,32
com.adobe.air,3800087,0
com.instagram.android,824805,1
flipboard.app,2025,5
com.aitype.android,1999,3
com.alienmanfc6.wheresmyandroid,92,0
com.devuni.flashlight,139,0
org.mozilla.firefox,2013120507,10
com.kakao.talk,129,8
com.a0soft.gphone.app2sd,318,1
com.google.android.gm,986,2
tunein.player,68,4
com.alensw.PicFolder,125,0
com.android.chrome,1650059,25
co.vine.android,67,1
com.agilesoftresource,186537,1
com.viber.voip,47,13
com.a0soft.gphone.aDataOnOff,274,1
com.mxtech.videoplayer.ad,65,16
com.amdroid.pedo.gas.flatulencia,4,0
com.facebook.orca,906963,16
com.roidapp.photogrid,125,6
cn.jingling.motu.photowonder,101,1
at.nerbrothers.SuperJump,16,0
com.ebay.mobile,43,2
com.outfit7.talkingtom,52,0
at.nerbrothers.SuperJump,11,0
org.mozilla.firefox,2013073011,11
com.zeptolab.ctr.ads,30,0
atticlab.bodyscanner,47,2
com.mxtech.videoplayer.ad,63,16
com.google.android.videos,26091,1
com.google.android.videos,30251,0
jp.naver.line.android,135,0
com.agilesoftresource,131,1
com.tencent.mm,355,13
com.google.android.apps.magazines,133231515,11
com.google.android.youtube,5324,0
com.twitter.android,3000517,21
com.sgiggle.production,68,9
com.jb.gosms,170,12
com.instagram.android,639564,1
com.samsung.swift.app.kiesair,23180,0
com.androidwasabi.livewallpaper.dandelion,42,0
com.RunnerGames.game.JewelsDeluxe_AD,24,0
