Package Name,Version Code,Number of used on_click
com.google.android.apps.translate,30000023,8
air.au.com.metro.DumbWaysToDie,1004003,0
com.dropbox.android,231004,0
com.melodis.midomiMusicIdentifier.freemium,10591,0
com.samsung.swift.app.kiesair,23132,0
com.skype.raider,67405411,3
Game.SpeedMoto,18,0
com.google.android.music,1109,1
com.socialnmobile.dictapps.notepad.color.note,190,0
com.gau.go.launcherex,303,0
com.sec.chaton,207103000,39
air.com.playtika.slotomania,1039000,5
com.adobe.reader,77969,14
com.accuweather.android,41,0
com.aceviral.angrygranrun,24,0
br.com.rodrigokolb.realdrum,20,0
com.zeptolab.ctr.ads,22,0
com.advancedprocessmanager,59,0
vStudio.Android.Camera360,422,97
flipboard.app,607,109
com.google.android.apps.plus,413009748,1
com.netflix.mediaclient,1042,0
com.androidwasabi.livewallpaper.dandelion,44,0
Game.NDK,27,0
com.antivirus,181729,0
com.whatsapp,48348,6
com.google.android.apps.docs,1222832,10
com.pandora.android,44,4
com.jb.gosms,154,0
com.gau.go.launcherex,267,0
com.creativemobile.DragRacing,90,0
com.google.earth,13294050,0
com.advancedprocessmanager,68,0
com.yahoo.mobile.client.android.mail,1310622,2
com.adobe.air,3900138,0
com.a0soft.gphone.app2sd,321,0
co.vine.android,1400110,14
cn.wps.moffice_eng,72,138
com.imangi.templerun2,12,0
com.whatsapp,48235,0
com.halfbrick.jetpackjoyride,1600,0
net.zedge.android,40005,0
com.google.android.apps.books,30015,0
com.amazon.mShop.android,2801,0
com.google.android.apps.maps,704001103,0
com.amazon.mp3,3002410,2
com.skype.raider,67130946,3
com.adobe.psmobile,12,29
com.gameloft.android.ANMP.GloftDMHM,15022,0
com.rovio.angrybirds,3410,0
com.androidwasabi.livewallpaper.waterdrop,30,0
com.outfit7.talkingtom,63,0
com.ebay.mobile,46,38
com.outfit7.talkingtom2free,32,0
com.shootbubble.bubbledexlue,12,0
com.google.android.apps.magazines,131402010,1
com.gamestar.pianoperfect,619,0
com.king.candycrushsaga,102101,0
ch.smalltech.battery.free,131,51
com.metago.astro,564,0
me.pou.app,132,0
ch.smalltech.battery.free,129,54
com.google.android.apps.plus,410508092,1
com.picsart.studio,79,1
com.accuweather.android,45,0
com.roidapp.photogrid,101,0
com.surpax.ledflashlight.panel,3,0
com.PinballGame,8,0
com.amdroid.pedo.gas.flatulencia,6,0
com.sec.chaton,302115000,3
com.google.android.talk,20217130,13
com.google.android.apps.docs,1246114,9
com.rovio.angrybirdsspace.ads,1650,0
com.rovio.angrybirds,4000,0
atticlab.bodyscanner,41,0
com.gamestar.pianoperfect,614,0
com.lookout,82800,0
com.sgiggle.production,1386724633,15
com.aitype.android,1994,24
me.pou.app,157,0
com.disney.WMWLite,17,0
goldenshorestechnologies.brightestflashlight.free,26,0
com.melodis.midomiMusicIdentifier.freemium,10560,0
com.disney.WMWLite,19,0
br.com.rodrigokolb.realdrum,23,0
jp.naver.line.android,125,99
brain.age.analyzer,53,0
com.pandora.android,5005,7
com.jiubang.goscreenlock,337,0
com.kiloo.subwaysurf,36,0
com.dropbox.android,231104,0
com.aceviral.angrygranrun,21,0
com.king.candycrushsaga,101601,0
ch.smalltech.ledflashlight.free,156,36
goldenshorestechnologies.brightestflashlight.free,27,0
com.avast.android.mobilesecurity,6572,0
com.google.android.apps.maps,701000803,0
com.ansangha.drdriving,12,0
com.viber.voip,37,40
