Package Name,Version Code,Number of Supported Screen Densities,Supported Screen Densities
com.amdroid.pedo.gas.flatulencia,4,4,120 160 240 320
com.whatsapp,48235,4,120 160 240 320
com.google.android.apps.magazines,133231515,5,160 240 320 480 640
com.socialnmobile.dictapps.notepad.color.note,190,4,120 160 240 65535
com.adobe.reader,77969,3,160 240 320
com.avast.android.mobilesecurity,6572,6,120 160 240 320 480 65535
net.zedge.android,30500,5,120 160 240 320 65535
flipboard.app,607,6,120 160 240 320 480 65535
com.kakao.talk,129,4,160 240 320 480
air.com.playtika.slotomania,1042000,4,120 160 240 320
com.google.android.apps.plus,413009748,7,160 213 240 320 480 640 65535
brain.age.analyzer,52,4,120 160 240 320
br.com.rodrigokolb.realdrum,20,4,120 160 240 320
com.instagram.android,639564,5,120 160 240 320 480
com.androidwasabi.livewallpaper.waterdrop,30,3,160 240 320
air.au.com.metro.DumbWaysToDie,1004001,4,120 160 240 320
com.twitter.android,421,5,160 240 320 480 65535
com.amazon.mShop.android,49,4,160 240 320 480
com.adobe.psmobile,10,1,160
com.a0soft.gphone.aDataOnOff,264,5,120 160 240 320 65535
cn.wps.moffice_eng,72,5,120 160 213 240 320
cn.wps.moffice_eng,65,5,120 160 213 240 320
com.google.android.gm,4600370,5,160 240 320 480 65535
com.shootbubble.bubbledexlue,14,3,120 160 240
com.androidwasabi.livewallpaper.waterdrop,28,2,160 240
cn.jingling.motu.photowonder,101,4,120 160 240 320
atticlab.bodyscanner,47,3,160 240 320
com.alienmanfc6.wheresmyandroid,90,4,120 160 240 320
com.rovio.angrybirds,4000,4,120 160 240 320
ch.smalltech.ledflashlight.free,160,6,120 160 240 320 480 65535
com.creativemobile.DragRacing,85,5,120 160 240 320 480
at.nerbrothers.SuperJump,16,4,120 160 240 320
com.cleanmaster.mguard,30860498,3,160 240 320
com.pandora.android,5005,5,120 160 240 320 480
com.socialnmobile.dictapps.notepad.color.note,172,4,120 160 240 65535
com.alensw.PicFolder,125,4,160 240 320 480
com.antivirus,181729,5,120 160 213 240 320
com.antivirus,186306,7,120 160 213 240 320 480 65535
com.lookout,82800,4,120 160 240 320
Game.SpeedMoto,18,2,160 240
com.advancedprocessmanager,68,3,120 160 320
org.mozilla.firefox,2013073011,4,160 240 320 480
ch.smalltech.battery.free,131,6,120 160 240 320 480 65535
Uxpp.UC,86,4,160 240 320 480
com.kiloo.subwaysurf,32,4,120 160 240 320
com.gau.go.launcherex,303,5,120 160 240 320 65535
com.pandora.android,44,4,120 160 240 320
com.whatsapp,48348,4,120 160 240 320
com.disney.WMWLite,19,5,120 160 240 320 480
com.aitype.android,1994,4,120 160 240 320
jp.naver.line.android,125,4,120 160 240 320
com.google.android.apps.translate,30000023,5,120 160 240 320 480
com.gamestar.pianoperfect,619,3,160 240 320
com.a0soft.gphone.aDataOnOff,274,6,120 160 240 320 480 65535
com.rovio.angrybirdsrio,1800,4,120 160 240 320
com.king.candycrushsaga,102101,4,120 160 240 320
com.mxtech.videoplayer.ad,63,5,120 160 240 320 65535
com.facebook.katana,666397,6,120 160 240 320 480 65535
com.yahoo.mobile.client.android.mail,1311682,6,120 160 240 320 480 65535
com.kiloo.subwaysurf,36,4,120 160 240 320
com.surpax.ledflashlight.panel,3,5,120 160 240 320 65535
com.advancedprocessmanager,59,3,120 160 240
com.samsung.swift.app.kiesair,23180,6,120 160 213 240 320 480
com.google.android.gm,986,5,160 240 320 480 65535
com.rechild.advancedtaskkiller,10203,1,160
com.adobe.air,3800087,4,120 160 240 320
com.rovio.angrybirdsspace.ads,1520,3,120 160 240
com.google.android.talk,20217130,7,160 213 240 320 480 640 65535
com.agilesoftresource,131,4,120 160 240 320
com.halfbrick.jetpackjoyride,1526,4,120 160 240 320
com.tencent.mm,355,5,120 160 240 320 65535
com.cleanmaster.mguard,30700303,2,160 240
cn.jingling.motu.photowonder,106,4,120 160 240 320
com.metago.astro,525,4,120 160 240 320
com.adobe.psmobile,12,5,120 160 240 320 480
com.tencent.mm,351,5,120 160 240 320 65535
com.ansangha.drdriving,24,5,120 160 240 320 480
com.viber.voip,47,6,120 160 240 320 480 65535
com.shootbubble.bubbledexlue,12,3,120 160 240
com.adobe.reader,85478,3,160 240 320
com.google.android.videos,26091,5,160 240 320 480 65535
com.gameloft.android.ANMP.GloftDMHM,110,5,120 160 240 320 480
com.rovio.angrybirds,3410,4,120 160 240 320
com.amazon.mShop.android,2801,4,160 240 320 480
com.sgiggle.production,1386724633,6,120 160 240 320 480 65535
com.StudioOnMars.CSPortable,3020,4,120 160 240 320
com.alensw.PicFolder,111,4,120 160 240 320
air.au.com.metro.DumbWaysToDie,1004003,4,120 160 240 320
com.google.android.apps.docs,1222832,6,120 160 240 320 480 65535
com.google.android.apps.magazines,131402010,5,160 240 320 480 65535
com.outfit7.talkingtom2free,73,7,120 160 213 240 320 480 65535
com.UCMobile.intl,88,6,120 160 240 320 480 65535
com.sgiggle.production,68,6,120 160 240 320 480 65535
com.rovio.angrybirdsstarwars.ads.iap,1300,3,120 160 240
net.zedge.android,40005,6,120 160 240 320 480 65535
