Package Name,Version Code,Number of Specific Layouts
com.google.android.apps.translate,30000023,5
air.au.com.metro.DumbWaysToDie,1004003,0
com.dropbox.android,231004,42
com.melodis.midomiMusicIdentifier.freemium,10591,189
com.samsung.swift.app.kiesair,23132,0
com.skype.raider,67405411,55
Game.SpeedMoto,18,0
com.google.android.music,1109,64
com.socialnmobile.dictapps.notepad.color.note,190,5
com.gau.go.launcherex,303,40
com.sec.chaton,207103000,17
air.com.playtika.slotomania,1039000,0
com.adobe.reader,77969,8
com.accuweather.android,41,39
com.aceviral.angrygranrun,24,0
br.com.rodrigokolb.realdrum,20,2
com.zeptolab.ctr.ads,22,3
com.advancedprocessmanager,59,0
vStudio.Android.Camera360,422,3
flipboard.app,607,0
com.google.android.apps.plus,413009748,55
com.netflix.mediaclient,1042,12
com.androidwasabi.livewallpaper.dandelion,44,0
Game.NDK,27,0
com.antivirus,181729,8
com.whatsapp,48348,13
com.google.android.apps.docs,1222832,41
com.pandora.android,44,18
com.jb.gosms,154,14
com.gau.go.launcherex,267,44
com.creativemobile.DragRacing,90,0
com.google.earth,13294050,2
com.advancedprocessmanager,68,4
com.yahoo.mobile.client.android.mail,1310622,27
com.adobe.air,3900138,0
com.a0soft.gphone.app2sd,321,7
co.vine.android,1400110,3
cn.wps.moffice_eng,72,0
com.imangi.templerun2,12,0
com.whatsapp,48235,13
com.halfbrick.jetpackjoyride,1600,0
net.zedge.android,40005,11
com.google.android.apps.books,30015,9
com.amazon.mShop.android,2801,3
com.google.android.apps.maps,704001103,274
com.amazon.mp3,3002410,62
com.skype.raider,67130946,11
com.adobe.psmobile,12,1
com.gameloft.android.ANMP.GloftDMHM,15022,4
com.rovio.angrybirds,3410,0
com.androidwasabi.livewallpaper.waterdrop,30,0
com.outfit7.talkingtom,63,13
com.ebay.mobile,46,24
com.outfit7.talkingtom2free,32,18
com.shootbubble.bubbledexlue,12,4
com.google.android.apps.magazines,131402010,10
com.gamestar.pianoperfect,619,1
com.king.candycrushsaga,102101,0
ch.smalltech.battery.free,131,4
com.metago.astro,564,8
me.pou.app,132,0
ch.smalltech.battery.free,129,5
com.google.android.apps.plus,410508092,22
com.picsart.studio,79,68
com.accuweather.android,45,41
com.roidapp.photogrid,101,0
com.surpax.ledflashlight.panel,3,4
com.PinballGame,8,0
com.amdroid.pedo.gas.flatulencia,6,0
com.sec.chaton,302115000,11
com.google.android.talk,20217130,19
com.google.android.apps.docs,1246114,56
com.rovio.angrybirdsspace.ads,1650,0
com.rovio.angrybirds,4000,0
atticlab.bodyscanner,41,0
com.gamestar.pianoperfect,614,2
com.lookout,82800,6
com.sgiggle.production,1386724633,5
com.aitype.android,1994,3
me.pou.app,157,0
com.disney.WMWLite,17,0
goldenshorestechnologies.brightestflashlight.free,26,0
com.melodis.midomiMusicIdentifier.freemium,10560,204
com.disney.WMWLite,19,0
br.com.rodrigokolb.realdrum,23,2
jp.naver.line.android,125,11
brain.age.analyzer,53,1
com.pandora.android,5005,29
com.jiubang.goscreenlock,337,10
com.kiloo.subwaysurf,36,0
com.dropbox.android,231104,42
com.aceviral.angrygranrun,21,0
com.king.candycrushsaga,101601,0
ch.smalltech.ledflashlight.free,156,12
goldenshorestechnologies.brightestflashlight.free,27,0
com.avast.android.mobilesecurity,6572,30
com.google.android.apps.maps,701000803,249
com.ansangha.drdriving,12,0
com.viber.voip,37,33
com.google.android.googlequicksearchbox,300301080,24
com.UCMobile.intl,88,0
com.rechild.advancedtaskkiller,103,0
com.cleanmaster.mguard,30860498,0
cn.jingling.motu.photowonder,106,0
com.jiubang.goscreenlock,325,6
brain.age.analyzer,52,1
com.PinballGame,9,0
com.StudioOnMars.CSPortable,3309,0
air.com.playtika.slotomania,1042000,0
com.rovio.angrybirdsstarwars.ads.iap,1300,0
com.amazon.mp3,2080310,51
com.adobe.psmobile,10,0
Uxpp.UC,112,8
com.kiloo.subwaysurf,32,0
com.socialnmobile.dictapps.notepad.color.note,172,5
com.shootbubble.bubbledexlue,14,4
net.zedge.android,30500,14
com.google.android.music,1316,48
com.StudioOnMars.CSPortable,3020,0
com.antivirus,186306,8
Uxpp.UC,86,1
air.au.com.metro.DumbWaysToDie,1004001,0
com.rechild.advancedtaskkiller,10203,0
com.facebook.katana,666397,30
com.netflix.mediaclient,950,7
com.adobe.reader,85478,9
com.twitter.android,421,44
com.lookout,81910,5
com.google.android.talk,757001,19
com.alienmanfc6.wheresmyandroid,90,0
com.google.android.youtube,5021,20
com.sec.spp.push,36,0
com.google.android.gm,4600370,4
ch.smalltech.ledflashlight.free,160,11
com.android.chrome,1547059,72
com.outfit7.talkingtom2free,73,16
com.google.android.apps.translate,30000028,5
com.bestcoolfungames.antsmasher,7002,0
com.google.earth,13140170,2
com.RunnerGames.game.JewelsDeluxe_AD,25,0
cn.wps.moffice_eng,65,0
com.adobe.air,3800087,0
com.instagram.android,824805,4
flipboard.app,2025,3
com.aitype.android,1999,3
com.alienmanfc6.wheresmyandroid,92,0
com.devuni.flashlight,139,0
org.mozilla.firefox,2013120507,14
com.kakao.talk,129,13
com.a0soft.gphone.app2sd,318,6
com.google.android.gm,986,5
tunein.player,68,37
com.alensw.PicFolder,125,0
com.android.chrome,1650059,72
co.vine.android,67,1
com.agilesoftresource,186537,9
com.viber.voip,47,65
com.a0soft.gphone.aDataOnOff,274,9
com.mxtech.videoplayer.ad,65,13
com.amdroid.pedo.gas.flatulencia,4,0
com.facebook.orca,906963,5
com.roidapp.photogrid,125,0
cn.jingling.motu.photowonder,101,0
at.nerbrothers.SuperJump,16,3
com.ebay.mobile,43,16
com.outfit7.talkingtom,52,15
at.nerbrothers.SuperJump,11,3
org.mozilla.firefox,2013073011,10
com.zeptolab.ctr.ads,30,3
atticlab.bodyscanner,47,0
com.mxtech.videoplayer.ad,63,13
com.google.android.videos,26091,11
com.google.android.videos,30251,11
jp.naver.line.android,135,2
com.agilesoftresource,131,9
com.tencent.mm,355,25
com.google.android.apps.magazines,133231515,12
com.google.android.youtube,5324,17
com.twitter.android,3000517,59
com.sgiggle.production,68,5
com.jb.gosms,170,15
com.instagram.android,639564,4
com.samsung.swift.app.kiesair,23180,0
com.androidwasabi.livewallpaper.dandelion,42,0
com.RunnerGames.game.JewelsDeluxe_AD,24,0
com.rovio.angrybirdsrio,1700,0
com.amazon.mShop.android,49,0
com.a0soft.gphone.aDataOnOff,264,8
com.devuni.flashlight,141,0
com.halfbrick.jetpackjoyride,1526,0
com.tencent.mm,351,20
com.avast.android.mobilesecurity,6158,30
com.cleanmaster.mguard,30700303,0
com.bestcoolfungames.antsmasher,7007,0
com.androidwasabi.livewallpaper.waterdrop,28,0
com.facebook.orca,295612,3
com.creativemobile.DragRacing,85,0
com.picsart.studio,68,61
com.gameloft.android.ANMP.GloftDMHM,110,2
com.rovio.angrybirdsrio,1800,2
com.yahoo.mobile.client.android.mail,1311682,11
com.alensw.PicFolder,111,0
com.ansangha.drdriving,24,0
vStudio.Android.Camera360,434,4
com.rovio.angrybirdsspace.ads,1520,0
com.facebook.katana,258882,23
com.kakao.talk,138,12
com.rovio.angrybirdsstarwars.ads.iap,1410,0
com.google.android.googlequicksearchbox,300301240,24
com.imangi.templerun2,14,0
com.UCMobile.intl,89,0
com.metago.astro,525,9
com.google.android.apps.books,20921,9
com.sec.spp.push,46,0
tunein.player,116,37
com.surpax.ledflashlight.panel,4,0
